MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:18:57
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141857.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 26.1
Memory(MB) =, 4270
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22351 min:21978 range:373 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.5(CX15-16) 0.4(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X0,22112,22104,22143,22148,22112,22118,22146,22120,22106,22112,22116,22105,22204,22200,22107,22135,22129,22085,21991,22116,22024,22083,22128,22096,22033,22122,22004,22149,22100,22139,22113,22113,22039,22025,22183,22143,22111,22130,22139,22079,22098,22038,22189,22169,22141,22072,22172,22133,22113,22177,22010,
X1,22102,22104,22135,22137,22103,22101,22147,22134,22098,22107,22116,22118,22213,22207,22104,22133,22151,22096,21996,22109,22034,22087,22156,22087,22030,22123,22017,22140,22114,22160,22130,22113,22045,22016,22191,22127,22109,22129,22145,22082,22077,22054,22196,22170,22145,22067,22162,22123,22118,22186,22057,
X2,22097,22116,22149,22161,22100,22122,22167,22137,22102,22095,22126,22117,22210,22215,22125,22145,22177,22100,21983,22127,22043,22108,22164,22097,22036,22134,22033,22167,22132,22178,22130,22122,22064,22076,22206,22154,22120,22127,22163,22101,22092,22052,22205,22171,22153,22076,22203,22140,22125,22185,22063,
X3,22091,22111,22152,22158,22128,22128,22166,22133,22112,22122,22145,22121,22218,22220,22139,22166,22192,22127,22002,22140,22041,22122,22173,22094,22036,22136,22028,22182,22145,22180,22146,22138,22069,22068,22216,22161,22140,22136,22168,22102,22113,22041,22194,22175,22140,22049,22184,22135,22112,22153,22051,
X4,22111,22121,22163,22176,22138,22143,22187,22157,22123,22122,22148,22130,22229,22233,22161,22193,22198,22132,22022,22160,22085,22152,22180,22109,22069,22152,22041,22201,22145,22186,22167,22148,22077,22101,22232,22171,22139,22156,22181,22105,22141,22070,22221,22192,22156,22075,22201,22137,22140,22185,22073,
X5,22084,22107,22142,22155,22117,22135,22154,22150,22108,22114,22127,22109,22215,22218,22151,22170,22183,22138,22016,22150,22056,22137,22175,22114,22058,22127,22037,22177,22131,22171,22155,22146,22069,22070,22225,22161,22127,22133,22142,22073,22096,22030,22206,22167,22129,22057,22177,22140,22129,22185,22061,
X6,22092,22087,22139,22156,22115,22132,22154,22144,22113,22124,22141,22116,22212,22212,22136,22176,22179,22121,22003,22149,22038,22123,22165,22113,22051,22134,22039,22180,22135,22151,22143,22129,22078,22044,22210,22139,22118,22127,22145,22088,22093,22027,22194,22172,22123,22069,22183,22147,22136,22179,22073,
X7,22094,22109,22150,22154,22121,22127,22151,22138,22113,22121,22146,22116,22220,22204,22133,22177,22186,22125,22003,22142,22048,22123,22154,22098,22031,22118,22017,22184,22126,22161,22140,22155,22078,22068,22213,22132,22108,22132,22135,22075,22085,22024,22199,22192,22155,22077,22197,22163,22131,22189,22087,
X8,22079,22101,22143,22141,22097,22123,22161,22146,22110,22112,22138,22112,22233,22247,22150,22182,22178,22112,21978,22128,22055,22128,22160,22110,22043,22122,22026,22187,22135,22168,22127,22131,22068,22054,22194,22148,22117,22128,22146,22068,22074,22020,22190,22165,22141,22063,22189,22164,22138,22180,22090,
X9,22100,22105,22165,22165,22105,22119,22160,22152,22148,22139,22166,22124,22263,22246,22166,22194,22198,22128,22002,22160,22071,22141,22175,22126,22057,22137,22035,22190,22130,22184,22149,22152,22085,22081,22224,22173,22148,22124,22150,22087,22103,22035,22213,22186,22158,22108,22209,22192,22147,22202,22088,
