, 
Cm,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X0,22381.0,22358.0,22423.0,22399.0,22406.0,22350.0,22350.0,22409.0,22299.0,22411.0,22416.0,22373.0,22397.0,22482.0,22502.0,22543.0,22534.0,22449.0,22358.0,22414.0,22459.0,22498.0,22501.0,22502.0,22540.0,22444.0,22509.0,22435.0,22531.0,22539.0,22513.0,22428.0,22548.0,22452.0,22613.0,22498.0,22586.0,22504.0,22467.0,22431.0,22485.0,22515.0,22487.0,22429.0,22493.0,22536.0,22518.0,22468.0,22514.0,22455.0,22396.0
X1,22373.0,22355.0,22438.0,22397.0,22426.0,22371.0,22385.0,22410.0,22305.0,22422.0,22434.0,22392.0,22425.0,22481.0,22507.0,22547.0,22566.0,22482.0,22395.0,22430.0,22475.0,22512.0,22528.0,22517.0,22554.0,22469.0,22514.0,22445.0,22538.0,22524.0,22512.0,22431.0,22561.0,22443.0,22617.0,22489.0,22574.0,22506.0,22474.0,22432.0,22486.0,22521.0,22489.0,22447.0,22491.0,22531.0,22515.0,22477.0,22520.0,22471.0,22411.0
X2,22373.0,22364.0,22432.0,22415.0,22422.0,22362.0,22380.0,22430.0,22303.0,22441.0,22431.0,22401.0,22425.0,22503.0,22506.0,22544.0,22564.0,22481.0,22386.0,22431.0,22458.0,22499.0,22520.0,22520.0,22558.0,22471.0,22514.0,22452.0,22540.0,22532.0,22498.0,22428.0,22564.0,22450.0,22607.0,22489.0,22576.0,22484.0,22468.0,22442.0,22481.0,22536.0,22487.0,22444.0,22495.0,22536.0,22510.0,22465.0,22510.0,22453.0,22408.0
X3,22391.0,22369.0,22447.0,22418.0,22434.0,22351.0,22388.0,22443.0,22328.0,22431.0,22437.0,22411.0,22434.0,22516.0,22523.0,22559.0,22562.0,22499.0,22406.0,22436.0,22486.0,22519.0,22532.0,22550.0,22572.0,22479.0,22536.0,22459.0,22547.0,22529.0,22531.0,22435.0,22569.0,22454.0,22609.0,22510.0,22578.0,22508.0,22481.0,22448.0,22499.0,22542.0,22490.0,22446.0,22501.0,22546.0,22529.0,22474.0,22519.0,22463.0,22419.0
X4,22386.0,22379.0,22453.0,22425.0,22411.0,22352.0,22406.0,22440.0,22318.0,22428.0,22438.0,22407.0,22433.0,22510.0,22519.0,22569.0,22554.0,22500.0,22396.0,22437.0,22496.0,22521.0,22543.0,22535.0,22567.0,22474.0,22543.0,22459.0,22551.0,22532.0,22534.0,22441.0,22552.0,22437.0,22607.0,22496.0,22575.0,22498.0,22473.0,22447.0,22497.0,22547.0,22512.0,22441.0,22510.0,22540.0,22521.0,22464.0,22515.0,22451.0,22420.0
X5,22396.0,22380.0,22458.0,22443.0,22449.0,22374.0,22416.0,22448.0,22329.0,22429.0,22452.0,22414.0,22438.0,22513.0,22521.0,22576.0,22589.0,22501.0,22394.0,22449.0,22508.0,22537.0,22548.0,22544.0,22582.0,22474.0,22556.0,22469.0,22567.0,22561.0,22547.0,22464.0,22566.0,22461.0,22633.0,22505.0,22580.0,22510.0,22482.0,22453.0,22517.0,22551.0,22519.0,22455.0,22510.0,22555.0,22531.0,22480.0,22523.0,22462.0,22415.0
X6,22394.0,22369.0,22455.0,22435.0,22432.0,22382.0,22418.0,22457.0,22328.0,22445.0,22462.0,22419.0,22473.0,22522.0,22519.0,22593.0,22605.0,22511.0,22401.0,22448.0,22508.0,22534.0,22556.0,22533.0,22567.0,22481.0,22552.0,22464.0,22564.0,22542.0,22548.0,22447.0,22571.0,22454.0,22611.0,22500.0,22586.0,22509.0,22492.0,22455.0,22504.0,22542.0,22511.0,22465.0,22515.0,22542.0,22514.0,22467.0,22515.0,22463.0,22410.0
X7,22392.0,22382.0,22458.0,22446.0,22448.0,22383.0,22429.0,22455.0,22324.0,22453.0,22464.0,22411.0,22447.0,22516.0,22541.0,22569.0,22583.0,22525.0,22421.0,22467.0,22509.0,22549.0,22563.0,22535.0,22576.0,22478.0,22545.0,22451.0,22555.0,22554.0,22543.0,22453.0,22567.0,22450.0,22614.0,22495.0,22584.0,22518.0,22491.0,22462.0,22515.0,22552.0,22525.0,22471.0,22535.0,22563.0,22533.0,22484.0,22521.0,22463.0,22411.0
X8,22392.0,22388.0,22466.0,22446.0,22438.0,22383.0,22411.0,22447.0,22332.0,22438.0,22465.0,22418.0,22454.0,22519.0,22534.0,22563.0,22592.0,22518.0,22434.0,22474.0,22503.0,22548.0,22557.0,22508.0,22574.0,22484.0,22521.0,22450.0,22554.0,22523.0,22552.0,22455.0,22559.0,22452.0,22609.0,22488.0,22575.0,22504.0,22487.0,22462.0,22512.0,22545.0,22507.0,22466.0,22511.0,22567.0,22532.0,22478.0,22513.0,22468.0,22410.0
X9,22399.0,22391.0,22469.0,22452.0,22434.0,22375.0,22413.0,22443.0,22344.0,22456.0,22476.0,22436.0,22457.0,22544.0,22556.0,22577.0,22602.0,22520.0,22429.0,22479.0,22505.0,22551.0,22560.0,22532.0,22579.0,22497.0,22540.0,22461.0,22553.0,22545.0,22538.0,22460.0,22571.0,22463.0,22623.0,22502.0,22584.0,22490.0,22488.0,22469.0,22504.0,22550.0,22517.0,22459.0,22512.0,22568.0,22527.0,22478.0,22513.0,22466.0,22412.0
